0    0 0 0 0 0  4.7349 0.65 0.1 0.75 0.4 0.825 0.825 0.675 0 0.7 0.1 0.1 0.125 0.95 0.3 0.175 0.4 0.075 1 0.075 0.05 0 0.025 0.025 
1    0 0 0 0 0.2  5.17056 0.675 0.95 0.75 0.4 0.825 0.825 0.675 0.225 0.075 0.125 0.925 0.125 0.95 0.3 0.45 0.4 0.05 1 0.075 0.025 0 0.025 0.15 
2    0 0 0 0 0.4  4.22341 0.65 0.85 0.85 0.4 0.1 0.825 0.675 0.175 0.075 0.975 0.925 0.4 0.3 0.3 0.45 0.4 0.075 0.3 0 0.025 0 0.025 0.475 
3    0 0 0 0 0.6  4.57708 0.65 0.85 0.85 0.4 0.675 0.825 0.675 0.7 0.075 0.475 0.45 0.4 0.3 0.25 0.45 0.4 0.85 1 0 0.025 0 0.025 0.675 
4    0 0 0 0 0.8  4.16123 0.65 0.85 0.85 0.4 0.1 0.825 0.675 0.175 0.075 0.975 0.925 0.4 0.3 0.3 0.45 0.4 0.075 1 0 0.025 0 0.025 0.725 
5    0 0 0 0.2 0  4.27644 0.425 0.975 0.75 0.7 0.825 0.95 0.15 0.725 0.825 1 0.925 0.325 0.3 0.925 0.45 0.525 0.075 0.95 0.075 0.025 0 0.2 0 
6    0 0 0 0.2 0.2  5.16152 0.65 0.95 0.75 0.4 0.825 0.825 0.675 0.225 0.15 0.125 0.225 0.125 0.95 0.075 0.45 0.4 0.075 1 0.075 0.025 0 0.15 0.15 
7    0 0 0 0.2 0.4  4.16354 0.975 0.45 0.75 0.4 0.825 0.825 0.625 0.225 0.45 0.75 0.825 0 0.95 0.95 0.475 0.925 0.975 0.3 0 0 0 0.2 0.475 
8    0 0 0 0.2 0.6  4.08123 0.75 0.625 0.75 0.4 0.8 0.825 0.675 0.225 0.075 0.1 0.6 0 0.95 0.3 0.825 0.45 0.275 0.3 0.025 0.05 0 0.175 0.625 
9    0 0 0 0.2 0.8  4.05274 0.65 0.85 0.75 0.4 0.825 0.95 0.325 0.9 0.825 0.125 0.925 0.4 0.3 0.6 0.45 0.525 0.075 1 0.075 0.025 0 0.2 0.9 
10    0 0 0 0.4 0  4.36 0.625 0.45 0.75 0.475 0.825 0.825 0.125 0.225 0.075 0.75 0.025 0 0.95 0.625 0.45 0.4 0.975 0.3 0.05 0 0 0.3 0.025 
11    0 0 0 0.4 0.2  4.4346 0.975 0.45 0.75 0.475 0.825 0.825 0.875 0.85 0.075 0.75 0.025 0 0.95 0.625 0.45 0.4 0.975 0.3 0.05 0 0 0.3 0.1 
12    0 0 0 0.4 0.4  4.62186 0.975 0.45 0.75 0.4 0.825 0.825 0.625 0.225 0.075 0.75 0.025 0 0.95 0.95 0.45 0.4 0.975 0.3 0 0 0 0.475 0.475 
14    0 0 0 0.4 0.8  4.64253 0.025 0.85 0.75 0.4 0.125 0.95 0.675 1 0.15 0.125 0.275 0 0.95 0.3 0.45 0.4 0.275 1 0.025 0.025 0 0.475 0.7 
15    0 0 0 0.6 0  4.14479 0.975 0.45 0.75 0.4 0.825 0.825 0.875 0.225 0.075 0.75 0.025 0 0.95 0.625 0.45 0.4 0.975 0.3 0.05 0 0 0.55 0.025 
16    0 0 0 0.6 0.2  4.84426 0.975 0.45 0.375 0.4 0.05 0.825 0.825 0.225 0.4 0.75 0.025 0 0.95 0.95 0.45 0.4 0.975 0.3 0.025 0 0 0.55 0.225 
17    0 0 0 0.6 0.4  4.89904 0.975 0.45 0.75 0.275 0 0.825 0.425 0.225 0.075 0.75 0.025 0 0.95 0.95 0.45 0.4 0.975 0.3 0.05 0 0 0.55 0.475 
18    0 0 0 0.6 0.6  3.88401 0.975 0.45 0.85 0.4 0.825 0.825 0.425 0.625 0.075 0.75 0.025 0 0.95 0.95 0.45 0.4 0.975 0.3 0 0 0 0.55 0.525 
19    0 0 0 0.6 0.8  4.48561 0.975 0.45 0.75 0.4 0.825 0.825 0.95 0.225 0.075 1 0.025 0 0.95 0.95 0.45 0.4 0.225 0.3 0.05 0 0 0.55 0.925 
20    0 0 0 0.8 0  4.38212 0.975 0.55 0.75 0.4 0.825 0.825 0.875 0.225 0.075 0.75 0.525 0 0.95 0.625 0.45 0.4 0.975 0.3 0.05 0 0 0.75 0.025 
21    0 0 0 0.8 0.2  5.24809 0.775 0.3 0.75 0.4 0.7 0.8 0.9 0.225 0.075 0.125 0.925 0.125 0.975 0.3 0.45 0.4 0.075 1 0.05 0.025 0 0.975 0.15 
22    0 0 0 0.8 0.4  4.60003 0.975 0.45 0.75 0.4 0.825 0.825 0.625 0.225 0.075 0.75 0.825 0 0.95 0.95 0.475 0.4 0.975 0.3 0 0 0 0.775 0.475 
23    0 0 0 0.8 0.6  4.57415 0.7 0.85 0.75 0.4 0.825 1 0.675 0.225 0.075 0.425 0.45 0.25 0.95 0.725 1 0.35 0.275 0.45 0.05 0.025 0 0.9 0.675 
24    0 0 0 0.8 0.8  4.36265 0.975 0.45 0.75 0.4 0.125 0.825 1 0.225 0.075 1 0.725 0 0.95 0.95 0.45 0.4 0.225 0.3 0.05 0 0 0.775 0.925 
29    0 0 0.2 0 0.8  4.24121 0.65 0.975 0.3 0.475 0.1 0.925 0.675 1 0.7 0.425 0.55 0.55 0.65 0.3 0.45 0.4 0.775 1 0.075 0 0.275 0.025 0.8 
31    0 0 0.2 0.2 0.2  3.88421 0.1 0.95 0.75 0.4 0.125 0.175 0.425 0.5 0.15 0.125 0.225 0.125 0.775 0.9 0.45 0.4 0.075 1 0.075 0.025 0.125 0.15 0.15 
32    0 0 0.2 0.2 0.4  4.21 0.65 0.85 1 0.4 0.825 0.35 0.025 0.225 0.025 0.575 0.05 0 0.95 0.275 0.95 0.4 0.275 0.225 0.075 0.05 0.25 0.2 0.325 
33    0 0 0.2 0.2 0.6  5.18732 0.65 0.85 0.75 0.4 0.65 0.95 0 0.3 0.075 0.05 0.85 0 0.95 0.875 0.45 0.4 0.275 0.45 0 0.075 0.25 0.2 0.5 
34    0 0 0.2 0.2 0.8  4.50776 0.85 0.85 0.75 0.4 0.1 0.825 0.525 0.3 0.075 0.4 0.925 0 0.3 0.25 0.45 0.4 0.6 0.975 0.05 0.025 0.15 0.275 0.95 
35    0 0 0.2 0.4 0  4.2661 0.85 0.225 0.75 0.4 0.1 0.825 0.675 0.425 0.075 0.725 0.925 0.4 0.3 0.15 0.45 0.4 0.6 0.975 0.05 0.025 0.15 0.3 0 
36    0 0 0.2 0.4 0.2  3.60372 0.425 0.85 0.775 0.675 0.525 0.9 0.675 0.225 0.075 0.125 0.925 0.425 0.3 0.3 0.45 0.4 0.075 0.125 0 0.075 0.225 0.45 0.175 
37    0 0 0.2 0.4 0.4  4.73403 0.375 0.55 0.425 0.525 0.825 0.325 0.875 0.55 0.525 0.05 0.575 0.2 0.75 0.975 0.45 0.325 0.625 0.45 0.025 0 0.25 0.45 0.475 
38    0 0 0.2 0.4 0.6  4.50759 0.675 0.975 1 0.8 0.15 0.725 0.075 0.85 0.575 0.15 0.05 0.425 0.975 0.3 0.45 0.4 0.25 0.3 0 0.05 0.25 0.425 0.675 
39    0 0 0.2 0.4 0.8  4.45494 0.675 0.975 1 0.8 0.15 0.725 0.075 0.85 0.575 0.15 0.05 0.425 0.975 0.3 0.45 0.4 0.25 0.3 0 0.05 0.25 0.425 0.925 
40    0 0 0.2 0.6 0  4.23563 0.65 0.85 0.95 0.4 0.825 0.825 0.675 0.025 0 0.825 0.05 0.2 0.95 0.9 0.975 0.4 0.275 0.45 0 0 0.25 0.5 0.075 
41    0 0 0.2 0.6 0.2  2.38243 0.825 0.85 0.75 0.4 0.825 0.825 0.05 0.225 0.075 0.275 0.175 0.125 0.9 0.675 0.95 0.4 0.95 1 0.075 0.075 0.1 0.675 0.15 
42    0 0 0.2 0.6 0.4  3.86315 0.975 0.45 0.75 0.275 0.825 0.825 0.425 0.225 0.075 0.75 0.025 0 0.2 0.95 0.45 0.4 0.975 0.3 0.05 0 0.1 0.55 0.475 
43    0 0 0.2 0.6 0.6  5.18926 0.65 0.85 0.95 0.4 0.825 0.825 0.675 0.55 0.05 0.05 0.05 0.2 0.95 0.3 0.625 0.4 0.275 0.45 0 0 0.175 0.5 0.5 
46    0 0 0.2 0.8 0.2  5.48275 0.7 0.925 0.75 0.4 0.825 0.9 0.675 0.725 0.825 0.925 0.275 0.25 0.95 0.725 0.35 0.8 0.275 0.45 0.05 0.05 0.225 0.9 0.275 
47    0 0 0.2 0.8 0.4  4.35577 0.65 0.375 1 0.775 0.825 0.75 0.675 0.225 0.9 0.75 0.05 0.75 0.95 0.475 0.45 0.4 0.275 0.45 0.075 0.05 0.2 0.725 0.425 
