0    0 0 0 0 0 0  0.522264 0.95 0.35 0 0.05 1 0.3 0.8 1 0.2 0.7 0.05 0.15 
1    0 0 0 0 0 0.2  0.0897524 0.45 0 1 0.2 1 0.05 1 0.7 0.65 0.45 0.6 0 
2    0 0 0 0 0 0.4  0.608229 1 0.15 0 0.1 0.85 0.35 0.8 0.7 0.5 0.8 0 0.15 
5    0 0 0 0 0.2 0  0.165402 1 0 0.1 0.45 1 0.05 1 0.15 0.3 0.15 1 0.25 
6    0 0 0 0 0.2 0.2  0.0576292 0.5 0 1 0.2 1 0.05 1 0.15 0.3 0.85 0.8 0.25 
10    0 0 0 0 0.4 0  0.0678652 0.35 0 1 0.2 1 0.05 1 0.05 0.7 0.5 0.85 0.45 
11    0 0 0 0 0.4 0.2  0.332039 0.45 0 0.9 0.2 1 0.05 1 0.8 0.2 1 0.35 0.85 
20    0 0 0 0 0.8 0  -0.00915905 1 0 0 0 0.85 0 0.65 0.45 0.85 0.05 0.55 0.15 
25    0 0 0 0.2 0 0  0.122429 0.4 0 0.25 0.2 1 0.05 1 0.1 0.95 0.45 0.25 0.3 
26    0 0 0 0.2 0 0.2  0.231588 0.45 0 1 0.2 1 0.05 1 0.25 0.95 0.45 0.4 0.25 
30    0 0 0 0.2 0.2 0  0.517423 1 0 1 0.2 1 0.05 0.65 0.15 0.3 0.7 0.75 0.4 
35    0 0 0 0.2 0.4 0  0.647018 1 0.95 0 0.1 0.85 0.3 0.3 0.15 0.3 0.45 0.2 0.15 
50    0 0 0 0.4 0 0  0.307129 0.45 0 1 0.2 1 0.05 0.5 0.7 0.9 0 0.6 0 
51    0 0 0 0.4 0 0.2  0.940875 1 0.85 0 0.1 0.85 0.3 0.8 0.45 0.85 0.75 0.45 0.15 
56    0 0 0 0.4 0.2 0.2  0.0916025 0.45 0 1 0.2 1 0.05 1 0.15 0.1 0.85 0.25 0 
125    0 0 0.2 0 0 0  0.107679 0.45 0 1 0.2 1 0.05 1 0.85 0.9 0.45 0.6 0.45 
126    0 0 0.2 0 0 0.2  0.087316 0.45 0 1 0.2 1 0.05 1 0.3 0.1 0.85 0.5 0 
150    0 0 0.2 0.2 0 0  0.376417 0.6 0 0.25 0.3 1 0.05 1 0.1 0.8 0.45 0.25 0.15 
151    0 0 0.2 0.2 0 0.2  0.301392 0.4 0 1 0.2 1 0.05 0 0.45 0.55 0.45 0.6 0.1 
157    0 0 0.2 0.2 0.2 0.4  0.663944 1 0.85 0 0.1 0.85 0.15 0.8 0.45 0.85 0.75 1 0.3 
158    0 0 0.2 0.2 0.2 0.6  0.125471 0.5 0 1 0.2 1 0.05 1 0.35 0.15 0.45 0.85 0.7 
